train_id,adult_males,subadult_males,adult_females,juveniles,pups,Sum
0,62,12,486,42,344,946
1,2,20,0,12,0,34
2,2,0,38,20,0,60
3,8,5,41,7,38,99
4,6,9,2,0,0,17
5,6,4,14,4,19,47
6,2,5,20,18,0,45
7,6,2,33,16,3,60
8,9,5,76,4,51,145
9,4,1,64,36,11,116
10,5,4,7,5,0,21
11,3,7,36,13,0,59
12,8,9,13,1,7,38
13,2,5,20,13,0,40
14,1,1,0,27,0,29
15,2,3,35,61,0,101
16,1,1,32,35,0,69
17,4,4,60,18,0,86
18,2,4,0,0,0,6
19,7,3,34,24,1,69
20,7,21,31,4,1,64
21,6,1,25,9,0,41
22,1,1,0,5,0,7
23,1,0,1,6,0,8
24,4,2,0,0,0,6
25,1,2,0,0,0,3
26,0,8,0,4,0,12
27,1,4,0,8,0,13
28,2,0,0,0,0,2
29,4,4,44,15,0,67
30,2,0,1,3,0,6
31,3,2,20,76,1,102
32,18,6,159,18,111,312
33,0,1,18,8,0,27
34,4,1,127,237,0,369
35,4,1,0,0,0,5
36,9,19,0,0,0,28
37,1,2,5,0,0,8
38,3,0,36,2,0,41
39,10,14,62,10,15,111
40,2,2,63,8,0,75
41,15,0,85,18,59,177
42,7,4,10,1,0,22
43,28,4,338,47,189,606
44,3,2,25,15,0,45
45,4,7,100,27,0,138
46,1,4,0,0,0,5
47,13,16,48,3,33,113
48,5,10,66,24,0,105
49,0,0,4,15,0,19
50,1,0,0,0,0,1
51,9,13,10,35,0,67
52,3,3,20,23,0,49
53,2,1,15,6,0,24
54,2,5,22,26,0,55
55,6,2,59,74,0,141
56,9,3,91,5,93,201
57,2,1,0,0,0,3
58,36,17,143,71,145,412
59,6,4,16,55,1,82
60,5,4,0,0,0,9
61,0,0,1,0,0,1
62,6,2,222,28,1,259
63,7,22,58,15,60,162
64,5,5,6,0,0,16
65,29,8,267,14,270,588
66,0,0,0,0,0,0
67,10,7,30,4,26,77
68,4,3,3,0,0,10
69,4,2,46,31,14,97
70,9,11,15,636,0,671
71,3,2,21,18,0,44
72,13,3,56,37,20,129
73,3,0,20,6,8,37
74,1,2,0,4,0,7
75,3,1,0,34,0,38
76,5,3,0,0,0,8
77,20,11,136,37,84,288
78,2,2,6,0,5,15
79,11,5,37,0,26,79
80,0,12,0,19,0,31
81,1,3,15,0,0,19
82,0,0,37,17,0,54
83,5,2,44,44,0,95
84,1,1,0,12,0,14
85,0,1,0,0,0,1
86,2,2,4,2,2,12
87,7,1,43,16,0,67
88,1,2,1,24,0,28
89,1,1,1,0,0,3
90,1,0,17,12,0,30
91,17,0,229,1,157,404
92,3,5,1,1,1,11
93,24,21,144,99,62,350
94,4,4,17,0,0,25
95,5,0,19,58,0,82
96,9,3,167,5,0,184
97,0,0,19,11,0,30
98,0,6,0,0,0,6
99,3,1,13,68,0,85
100,12,3,50,4,27,96
101,10,0,85,56,0,151
102,13,0,92,3,73,181
103,3,0,0,0,0,3
104,3,3,38,43,0,87
105,2,0,33,17,3,55
106,0,4,0,5,0,9
107,7,11,3,1,2,24
108,4,4,0,3,0,11
109,4,2,35,4,27,72
110,16,8,95,13,80,212
111,23,9,123,40,80,275
112,11,20,387,190,0,608
113,0,9,10,3,0,22
114,5,7,12,0,9,33
115,0,13,0,4,0,17
116,0,0,4,9,0,13
117,0,1,1,0,0,2
118,1,1,10,43,0,55
119,7,7,19,2,11,46
120,2,0,5,1,3,11
121,6,1,90,7,67,171
122,11,43,40,15,0,109
123,0,0,1,0,0,1
124,19,8,104,84,46,261
125,6,1,36,29,8,80
126,35,14,127,7,117,300
127,1,10,15,65,0,91
128,11,22,53,43,0,129
129,0,3,0,43,0,46
130,13,30,43,17,0,103
131,5,11,25,73,2,116
132,2,2,0,0,0,4
133,1,1,2,2,0,6
134,3,2,15,7,0,27
135,1,0,10,4,0,15
136,1,9,3,22,0,35
137,6,3,0,0,0,9
138,1,0,25,12,0,38
139,2,4,9,0,8,23
140,1,2,0,0,0,3
141,5,28,0,16,0,49
142,1,1,3,5,0,10
143,0,1,0,0,0,1
144,8,0,18,0,20,46
145,4,9,60,70,0,143
146,4,1,25,23,5,58
147,6,4,44,4,26,84
148,0,3,0,6,0,9
149,2,5,0,2,0,9
150,0,2,0,0,0,2
151,6,4,21,0,16,47
152,5,4,0,0,0,9
153,12,27,0,0,0,39
154,6,13,62,25,0,106
155,23,11,114,5,65,218
156,2,1,11,0,0,14
157,1,1,15,0,0,17
158,20,0,90,3,87,200
159,0,6,0,0,0,6
160,12,5,199,65,30,311
161,2,5,5,0,0,12
162,4,1,58,37,0,100
163,11,8,89,15,72,195
164,32,15,248,14,169,478
165,2,5,4,3,0,14
166,5,5,56,25,0,91
167,1,0,0,0,0,1
168,6,4,5,101,0,116
169,4,2,35,14,11,66
170,10,0,82,4,68,164
171,0,23,3,37,0,63
172,2,0,6,23,0,31
173,4,0,6,6,0,16
174,4,0,35,0,29,68
175,2,1,4,18,0,25
176,17,9,92,6,56,180
177,2,10,0,8,0,20
178,2,0,2,2,0,6
179,2,5,0,1,0,8
180,3,1,7,4,0,15
181,6,6,49,38,2,101
182,1,2,13,10,0,26
183,6,7,31,28,0,72
184,6,16,19,7,0,48
185,8,1,13,0,8,30
186,3,5,112,146,0,266
187,56,14,592,8,434,1104
188,1,3,10,19,0,33
189,64,40,382,23,135,644
190,1,0,2,6,0,9
191,1,5,0,0,0,6
192,1,0,0,0,0,1
193,2,1,29,15,0,47
194,1,0,0,0,0,1
195,4,0,63,24,0,91
196,12,8,106,11,64,201
197,7,3,79,6,62,157
198,3,2,0,0,0,5
199,1,0,0,0,0,1
200,36,3,56,2,5,102
201,9,2,44,13,33,101
202,3,0,11,23,0,37
203,8,8,43,59,2,120
204,4,8,1,6,1,20
205,14,1,135,10,68,228
206,0,5,1,19,1,26
207,1,1,3,4,0,9
208,4,3,0,0,0,7
209,4,9,0,1,0,14
210,2,9,1,15,0,27
211,19,5,185,20,243,472
212,4,6,16,0,0,26
213,11,12,26,44,6,99
214,6,0,18,5,5,34
215,0,4,0,0,0,4
216,6,0,29,0,33,68
217,16,4,140,12,142,314
218,0,2,1,1,1,5
219,11,7,37,39,0,94
220,0,1,0,0,0,1
221,5,1,26,9,2,43
222,2,0,0,0,0,2
223,0,0,1,0,0,1
224,12,1,58,3,68,142
225,0,1,22,6,0,29
226,17,8,207,3,144,379
227,5,1,52,111,0,169
228,1,9,61,38,0,109
229,1,1,0,1,0,3
230,0,0,16,5,0,21
231,7,4,7,1,1,20
232,9,2,21,1,16,49
233,1,0,0,0,0,1
234,0,2,46,25,0,73
235,31,3,278,99,135,546
236,3,0,29,44,0,76
237,0,1,29,38,0,68
238,3,3,8,1,3,18
239,4,10,8,17,0,39
240,25,11,160,23,114,333
241,3,0,101,54,0,158
242,1,0,0,0,0,1
243,4,0,0,0,0,4
244,1,1,3,13,0,18
245,7,2,74,29,8,120
246,5,3,24,31,1,64
247,3,1,34,18,0,56
248,4,0,64,34,0,102
249,4,8,13,38,0,63
250,2,4,2,0,0,8
251,1,0,5,31,0,37
252,23,4,105,15,67,214
253,2,0,0,0,0,2
254,2,9,7,1,6,25
255,0,3,0,0,0,3
256,15,0,92,54,59,220
257,1,11,23,53,9,97
258,19,11,350,266,1,647
259,3,3,32,20,0,58
260,3,1,8,51,0,63
261,3,4,29,9,2,47
262,3,0,34,31,5,73
263,12,2,57,32,23,126
264,0,0,3,3,0,6
265,1,8,0,2,0,11
266,4,0,39,35,0,78
267,14,8,62,14,44,142
268,3,8,10,1,0,22
269,3,2,0,0,0,5
270,3,0,21,29,0,53
271,30,7,289,34,217,577
272,0,2,0,4,0,6
273,14,3,296,7,250,570
274,1,0,0,0,0,1
275,0,1,25,40,0,66
276,6,3,37,0,0,46
277,5,6,68,102,0,181
278,5,0,18,19,2,44
279,1,0,8,4,0,13
280,12,5,19,3,29,68
281,3,3,51,20,0,77
282,0,3,3,0,0,6
283,4,7,26,12,0,49
284,2,0,16,15,0,33
285,0,2,0,0,0,2
286,2,2,0,0,0,4
287,10,8,1,0,0,19
288,4,0,12,15,1,32
289,0,2,38,15,0,55
290,2,0,0,0,0,2
291,39,20,275,23,237,594
292,2,3,23,15,1,44
293,6,4,38,2,33,83
294,1,1,2,5,0,9
295,16,6,51,29,26,128
296,1,6,0,2,0,9
297,3,40,24,39,0,106
298,22,10,172,18,184,406
299,27,10,209,32,55,333
300,6,3,7,11,0,27
301,6,3,67,5,35,116
302,1,0,0,34,0,35
303,1,2,0,24,0,27
304,2,3,0,82,0,87
305,1,2,3,0,0,6
306,14,4,71,45,17,151
307,8,0,17,6,17,48
308,0,2,4,2,0,8
309,5,0,61,23,9,98
310,4,8,95,30,0,137
311,2,1,14,9,3,29
312,1,1,22,14,0,38
313,5,3,83,30,0,121
314,1,2,0,0,0,3
315,1,2,0,0,0,3
316,5,0,0,1,0,6
317,1,2,34,16,0,53
318,2,9,33,42,1,87
319,17,12,145,68,49,291
320,16,4,227,39,11,297
321,2,3,0,1,0,6
322,8,3,63,22,10,106
323,4,0,1,0,1,6
324,2,3,12,33,0,50
325,0,2,2,80,0,84
326,1,3,69,80,0,153
327,0,2,4,0,0,6
328,5,4,18,5,13,45
329,18,3,72,6,49,148
330,1,0,25,67,0,93
331,6,18,10,0,0,34
332,10,4,57,27,21,119
333,0,15,0,74,0,89
334,9,14,21,39,9,92
335,6,36,19,12,0,73
336,10,2,77,18,27,134
337,0,3,4,86,0,93
338,36,7,275,41,249,608
339,2,2,5,0,0,9
340,21,4,181,23,145,374
341,0,1,0,1,0,2
342,3,0,24,16,0,43
343,2,1,4,2,3,12
344,2,0,18,10,0,30
345,1,0,16,2,0,19
346,7,1,46,39,0,93
347,10,55,2,23,0,90
348,0,2,0,17,0,19
349,24,29,21,11,0,85
350,4,13,0,0,0,17
351,2,0,0,0,0,2
352,2,1,0,0,0,3
353,5,4,78,29,0,116
354,2,1,31,4,0,38
355,0,4,0,1,0,5
356,0,0,1,0,0,1
357,4,1,0,0,0,5
358,0,3,0,38,0,41
359,10,4,54,12,46,126
360,2,4,23,77,0,106
361,27,1,146,38,54,266
362,18,1,127,5,99,250
363,1,7,4,53,1,66
364,6,0,24,0,45,75
365,4,7,0,0,0,11
366,1,1,2,2,0,6
367,15,4,99,4,55,177
368,6,0,37,3,34,80
369,8,43,0,24,0,75
370,9,4,43,7,16,79
371,15,2,62,5,49,133
372,29,6,136,33,82,286
373,12,6,69,54,6,147
374,0,0,36,43,0,79
375,4,0,0,0,0,4
376,2,3,24,4,0,33
377,8,5,27,2,29,71
378,5,1,43,1,0,50
379,4,7,23,45,5,84
380,2,0,83,31,0,116
381,1,0,0,0,0,1
382,1,0,12,22,0,35
383,8,10,70,124,0,212
384,7,5,61,19,0,92
385,2,2,0,1,0,5
386,4,3,15,8,10,40
387,2,0,0,0,0,2
388,2,0,12,24,0,38
389,0,1,42,14,0,57
390,4,5,4,2,3,18
391,7,3,8,0,8,26
392,2,0,15,19,0,36
393,7,6,33,2,21,69
394,1,6,0,0,0,7
395,2,1,25,16,0,44
396,1,11,0,2,0,14
397,2,1,2,0,0,5
398,0,7,0,11,0,18
399,6,13,30,70,0,119
400,3,1,7,0,0,11
401,8,8,33,32,16,97
402,6,11,300,71,0,388
403,1,17,21,195,2,236
404,2,0,12,1,6,21
405,1,2,4,10,0,17
406,10,12,141,47,3,213
407,5,2,4,0,0,11
408,9,5,45,2,34,95
409,4,0,15,7,1,27
410,1,3,0,0,0,4
411,17,0,329,345,0,691
412,5,13,105,61,0,184
413,8,2,0,0,0,10
414,3,7,10,13,0,33
415,4,0,20,2,0,26
416,2,34,7,341,0,384
417,6,2,4,0,0,12
418,11,6,139,150,0,306
419,3,1,0,0,0,4
420,8,6,13,4,16,47
421,1,3,0,0,0,4
422,10,0,93,19,90,212
423,0,4,0,4,0,8
424,1,0,34,18,0,53
425,0,1,14,16,0,31
426,2,5,6,32,5,50
427,1,3,4,28,0,36
428,1,0,1,1,0,3
429,3,18,19,25,0,65
430,4,0,10,6,1,21
431,0,2,5,8,0,15
432,4,8,23,23,0,58
433,0,3,5,41,0,49
434,7,3,21,101,0,132
435,0,4,1,19,0,24
436,2,1,0,0,0,3
437,36,1,215,4,192,448
438,15,6,169,0,123,313
439,2,3,21,16,0,42
440,2,13,4,7,0,26
441,1,0,8,16,0,25
442,1,2,5,23,0,31
443,4,1,12,35,0,52
444,1,4,0,0,0,5
445,1,0,11,16,0,28
446,9,1,62,19,32,123
447,0,4,0,2,0,6
448,1,1,2,1,1,6
449,1,6,0,0,0,7
450,1,0,0,0,0,1
451,2,3,44,29,0,78
452,35,7,207,9,100,358
453,2,1,9,20,0,32
454,2,5,22,35,1,65
455,3,0,49,17,2,71
456,3,3,5,0,0,11
457,2,1,5,13,0,21
458,1,9,7,6,0,23
459,15,7,58,3,30,113
460,1,1,22,21,0,45
461,1,2,17,40,0,60
462,15,6,59,6,59,145
463,6,0,57,7,7,77
464,0,1,0,16,0,17
465,10,2,94,172,0,278
466,3,1,9,3,7,23
467,1,4,0,2,0,7
468,8,14,39,10,0,71
469,0,2,8,7,0,17
470,0,0,1,1,0,2
471,4,2,7,4,0,17
472,6,4,45,15,0,70
473,2,0,19,57,0,78
474,1,2,7,26,0,36
475,3,6,61,85,0,155
476,9,0,46,39,0,94
477,9,5,50,16,14,94
478,8,9,49,13,44,123
479,5,5,0,0,0,10
480,3,2,30,9,1,45
481,3,2,4,45,0,54
482,7,1,44,7,33,92
483,1,3,3,31,0,38
484,6,40,0,5,0,51
485,10,6,45,35,0,96
486,3,2,0,1,1,7
487,3,1,0,0,0,4
488,6,11,145,78,0,240
489,2,0,2,16,0,20
490,6,5,14,4,0,29
491,0,1,9,4,0,14
492,2,2,9,21,1,35
493,0,21,0,65,0,86
494,24,44,72,19,53,212
495,5,0,20,2,20,47
496,0,2,5,0,4,11
497,1,2,0,0,0,3
498,0,1,1,19,0,21
499,3,3,2,0,0,8
500,4,5,0,2,0,11
501,2,0,2,3,0,7
502,6,3,59,32,0,100
503,0,5,6,31,0,42
504,2,0,0,3,0,5
505,1,9,0,42,0,52
506,0,0,9,21,0,30
507,8,6,27,47,0,88
508,0,0,4,1,0,5
509,23,11,87,63,44,228
510,2,1,0,0,0,3
511,3,4,16,27,0,50
512,1,4,0,0,0,5
513,7,0,8,2,7,24
514,6,3,260,109,0,378
515,0,8,2,1,0,11
516,17,6,93,14,61,191
517,2,1,4,0,0,7
518,4,7,59,31,0,101
519,6,3,44,17,13,83
520,6,2,21,0,0,29
521,1,0,7,5,0,13
522,5,3,67,43,5,123
523,16,4,64,13,16,113
524,5,4,1,1,0,11
525,3,0,9,35,0,47
526,4,10,20,19,13,66
527,2,0,29,6,1,38
528,8,0,30,4,24,66
529,5,3,16,31,0,55
530,3,1,24,16,0,44
531,0,9,5,6,0,20
532,2,0,0,0,0,2
533,2,2,0,2,0,6
534,0,1,0,0,0,1
535,7,0,81,36,7,131
536,15,1,52,4,44,116
537,1,4,2,8,0,15
538,10,3,162,9,115,299
539,2,5,0,0,0,7
540,22,21,40,11,1,95
541,4,1,12,2,0,19
542,3,2,0,0,0,5
543,4,2,0,6,0,12
544,4,5,8,2,0,19
545,3,14,36,21,0,74
546,3,1,16,47,0,67
547,2,2,18,34,0,56
548,3,0,5,4,0,12
549,1,4,31,0,0,36
550,2,0,11,14,0,27
551,1,0,13,13,0,27
552,2,3,52,45,0,102
553,6,3,3,1,0,13
554,2,9,9,1,1,22
555,5,3,20,28,0,56
556,13,17,133,32,102,297
557,0,3,0,3,0,6
558,14,3,87,21,39,164
559,2,2,29,41,0,74
560,1,2,0,38,0,41
561,3,0,33,42,0,78
562,3,4,31,68,0,106
563,6,5,68,6,88,173
564,1,0,0,0,0,1
565,0,0,6,8,0,14
566,2,2,0,0,0,4
567,5,3,66,30,1,105
568,4,0,9,19,2,34
569,19,9,113,24,105,270
570,2,3,0,0,0,5
571,3,0,30,13,0,46
572,0,0,11,9,0,20
573,2,5,0,0,0,7
574,4,4,22,9,7,46
575,2,1,19,3,0,25
576,3,12,24,24,0,63
577,3,1,117,97,0,218
578,6,3,26,0,16,51
579,0,0,24,33,0,57
580,3,5,0,0,0,8
581,21,10,130,15,16,192
582,1,4,0,0,0,5
583,2,2,3,1,0,8
584,7,0,4,0,3,14
585,2,4,5,20,0,31
586,3,0,1,5,1,10
587,31,14,200,77,274,596
588,5,31,13,11,0,60
589,1,1,21,30,0,53
590,47,16,322,41,300,726
591,22,14,134,116,43,329
592,1,1,0,0,0,2
593,1,2,32,5,0,40
594,0,1,1,0,0,2
595,2,0,30,15,0,47
596,5,4,30,47,0,86
597,0,0,1,0,0,1
598,4,5,32,15,0,56
599,3,8,1,5,0,17
600,0,1,19,27,0,47
601,9,4,38,92,0,143
602,3,17,0,0,0,20
603,2,3,1,0,0,6
604,12,5,105,204,2,328
605,4,6,2,5,0,17
606,16,5,288,11,211,531
607,2,3,15,4,0,24
608,2,0,12,24,0,38
609,1,5,0,0,0,6
610,5,5,17,12,0,39
611,2,1,32,13,0,48
612,3,0,1,0,0,4
613,4,6,15,2,1,28
614,1,0,5,10,0,16
615,2,1,35,22,0,60
616,8,18,79,25,0,130
617,14,12,88,47,38,199
618,5,23,98,25,0,151
619,6,2,27,6,12,53
620,5,6,20,1,21,53
621,15,12,53,36,30,146
622,6,2,32,1,38,79
623,6,0,0,0,0,6
624,7,6,38,1,20,72
625,28,5,149,11,129,322
626,1,0,0,0,0,1
627,1,1,0,0,0,2
628,11,4,18,1,0,34
629,13,12,75,1,57,158
630,2,0,0,0,0,2
631,2,2,0,0,0,4
632,5,3,1,6,0,15
633,5,1,39,15,25,85
634,1,0,0,0,0,1
635,3,1,20,7,0,31
636,2,2,34,2,0,40
637,6,18,85,17,40,166
638,2,2,0,0,0,4
639,4,12,31,81,2,130
640,8,3,33,8,0,52
641,1,2,70,102,0,175
642,1,9,0,0,0,10
643,1,6,0,29,0,36
644,2,2,22,9,0,35
645,10,7,73,51,67,208
646,1,1,11,3,0,16
647,1,2,0,1,0,4
648,5,0,56,0,41,102
649,2,0,19,49,0,70
650,2,25,0,13,0,40
651,1,7,11,26,0,45
652,0,3,0,0,0,3
653,2,3,0,18,0,23
654,1,3,0,8,0,12
655,5,3,22,1,17,48
656,4,6,14,7,9,40
657,0,1,0,0,0,1
658,5,8,0,0,0,13
659,1,1,21,25,0,48
660,1,0,1,4,0,6
661,2,3,17,49,0,71
662,10,6,245,20,0,281
663,1,4,9,11,0,25
664,18,15,129,67,71,300
665,0,9,0,2,0,11
666,0,4,4,14,0,22
667,4,1,1,0,1,7
668,0,3,4,32,0,39
669,5,4,16,0,0,25
670,0,4,21,19,0,44
671,1,1,11,58,0,71
672,5,25,0,10,0,40
673,1,0,0,16,0,17
674,20,3,112,23,118,276
675,4,1,5,0,5,15
676,16,10,43,6,22,97
677,7,6,6,4,2,25
678,3,7,19,45,0,74
679,15,3,94,16,83,211
680,17,5,160,8,162,352
681,2,1,24,9,0,36
682,1,2,6,9,0,18
683,1,2,3,2,0,8
684,17,4,88,45,54,208
685,6,12,0,0,0,18
686,3,36,0,59,0,98
687,6,4,72,9,3,94
688,0,8,0,13,0,21
689,1,0,1,0,0,2
690,5,5,34,7,28,79
691,1,1,0,0,0,2
692,0,0,15,45,0,60
693,3,10,7,2,0,22
694,3,1,5,1,0,10
695,1,0,2,0,2,5
696,2,4,0,2,0,8
697,1,1,2,0,0,4
698,1,1,0,14,0,16
699,20,13,39,2,14,88
700,9,4,82,9,23,127
701,12,10,91,19,158,290
702,8,4,25,10,10,57
703,7,0,38,52,0,97
704,26,6,168,25,105,330
705,3,0,19,38,2,62
706,2,5,39,18,0,64
707,4,22,1,7,0,34
708,3,7,0,3,0,13
709,1,2,19,50,0,72
710,7,3,0,0,0,10
711,4,7,5,3,0,19
712,3,0,52,64,0,119
713,2,3,10,5,0,20
714,13,2,85,7,21,128
715,9,1,57,7,35,109
716,5,5,53,30,0,93
717,1,4,16,2,1,24
718,13,3,39,1,42,98
719,1,3,15,10,0,29
720,8,1,51,7,24,91
721,6,1,47,13,0,67
722,19,6,164,7,109,305
723,8,0,41,5,45,99
724,6,40,4,87,0,137
725,6,2,68,100,0,176
726,3,4,3,19,0,29
727,13,6,103,18,66,206
728,13,4,104,11,77,209
729,1,4,3,29,0,37
730,1,3,0,0,0,4
731,4,0,12,0,8,24
732,4,8,0,0,0,12
733,1,0,0,0,0,1
734,1,1,0,0,0,2
735,0,3,9,0,0,12
736,9,36,0,2,0,47
737,2,3,0,0,0,5
738,1,1,0,8,0,10
739,4,6,1,0,1,12
740,9,4,20,8,2,43
741,32,5,228,38,176,479
742,6,1,23,6,14,50
743,12,5,113,13,91,234
744,6,3,51,498,0,558
745,32,10,270,30,183,525
746,1,0,11,19,0,31
747,17,6,251,17,225,516
748,0,6,0,0,0,6
749,6,0,24,8,2,40
750,5,1,9,7,0,22
751,0,7,0,2,0,9
752,6,1,16,6,12,41
753,8,1,35,19,18,81
754,2,0,19,31,0,52
755,5,17,51,139,0,212
756,0,0,20,34,0,54
757,1,0,0,0,0,1
758,3,0,12,85,0,100
759,19,5,143,13,119,299
760,3,15,0,7,0,25
761,9,19,53,61,0,142
762,2,2,2,0,0,6
763,0,1,0,74,0,75
764,4,4,26,2,7,43
765,0,1,20,19,0,40
766,1,1,1,0,0,3
767,6,7,53,14,0,80
768,2,1,0,0,0,3
769,12,0,161,15,130,318
770,1,4,24,5,0,34
771,7,1,113,28,0,149
772,0,1,0,1,0,2
773,28,8,213,5,138,392
774,20,0,139,12,114,285
775,3,4,51,4,49,111
776,3,2,25,2,29,61
777,2,3,0,0,0,5
778,2,3,0,1,0,6
779,1,0,0,0,0,1
780,0,0,3,3,0,6
781,3,1,43,7,0,54
782,0,3,95,22,0,120
783,17,8,88,18,10,141
784,11,5,211,211,0,438
785,41,8,288,22,230,589
786,1,2,0,0,0,3
787,3,4,0,10,0,17
788,4,19,12,5,0,40
789,3,2,23,1,18,47
790,7,2,41,4,36,90
791,4,4,37,3,26,74
792,10,0,49,1,42,102
793,11,5,8,0,0,24
794,4,3,89,106,0,202
795,3,0,8,0,1,12
796,1,0,1,8,0,10
797,1,0,0,0,0,1
798,2,1,0,1,0,4
799,4,12,13,74,3,106
800,1,1,0,0,0,2
801,9,3,56,30,57,155
802,11,6,48,54,12,131
803,21,10,258,40,151,480
804,6,1,56,52,0,115
805,12,1,60,14,32,119
806,5,12,14,4,10,45
807,7,0,57,7,56,127
808,1,0,0,0,0,1
809,3,0,48,43,1,95
810,15,4,68,28,20,135
811,7,5,12,0,0,24
812,3,0,16,3,0,22
813,1,3,6,21,0,31
814,1,6,0,6,0,13
815,5,3,2,4,0,14
816,3,0,35,33,0,71
817,4,5,26,39,0,74
818,1,0,4,7,0,12
819,2,0,0,0,0,2
820,4,3,44,4,41,96
821,1,0,3,2,0,6
822,30,10,305,12,210,567
823,2,10,29,12,0,53
824,2,4,0,0,0,6
825,3,1,0,1,0,5
826,0,2,3,0,0,5
827,8,7,4,0,0,19
828,15,9,49,4,35,112
829,4,3,15,9,8,39
830,2,10,4,32,0,48
831,3,2,6,1,0,12
832,0,4,0,18,0,22
833,22,3,226,43,215,509
834,0,7,0,1,0,8
835,4,6,1,2,0,13
836,2,3,3,1,0,9
837,1,0,3,4,0,8
838,11,28,2,5,0,46
839,4,1,1,1,0,7
840,2,3,47,14,0,66
841,3,6,0,26,0,35
842,2,4,6,4,0,16
843,3,0,6,4,0,13
844,9,7,5,4,0,25
845,8,1,9,16,0,34
846,1,1,13,3,0,18
847,27,3,227,46,151,454
848,1,1,5,23,0,30
849,6,1,24,5,10,46
850,6,13,13,0,0,32
851,1,2,10,8,0,21
852,6,27,3,10,3,49
853,0,4,0,0,0,4
854,1,2,0,1,0,4
855,3,2,24,78,0,107
856,8,4,14,5,0,31
857,1,10,0,3,0,14
858,6,12,20,67,0,105
859,3,6,8,33,0,50
860,3,2,20,11,7,43
861,4,6,110,0,0,120
862,4,2,18,99,1,124
863,1,1,0,0,0,2
864,14,2,207,20,172,415
865,1,0,0,1,1,3
866,2,0,4,14,0,20
867,0,2,5,11,0,18
868,5,11,62,94,0,172
869,2,3,0,0,0,5
870,2,0,7,0,0,9
871,23,10,196,43,176,448
872,7,11,132,36,0,186
873,1,0,30,77,0,108
874,18,7,118,47,117,307
875,4,8,60,14,0,86
876,1,0,0,0,0,1
877,1,3,7,3,0,14
878,1,1,16,36,0,54
879,0,0,28,75,0,103
880,2,0,9,23,0,34
881,43,16,169,59,117,404
882,2,4,6,16,0,28
883,1,3,0,0,0,4
884,3,0,59,13,7,82
885,3,0,21,12,0,36
886,2,0,30,0,15,47
887,1,2,0,0,0,3
888,1,0,5,4,0,10
889,11,1,32,4,15,63
890,3,0,10,3,0,16
891,7,0,27,5,22,61
892,16,6,144,3,124,293
893,1,3,30,35,8,77
894,2,2,41,39,0,84
895,3,2,52,15,7,79
896,4,0,0,0,0,4
897,0,4,21,11,0,36
898,10,4,79,6,45,144
899,0,3,0,2,0,5
900,42,5,682,26,529,1284
901,3,11,123,31,0,168
902,0,2,0,0,0,2
903,4,5,30,14,1,54
904,1,1,0,0,0,2
905,3,2,6,0,0,11
906,4,2,20,7,2,35
907,3,3,32,55,0,93
908,4,2,0,0,0,6
909,5,4,30,9,0,48
910,3,16,0,5,0,24
911,4,5,149,50,0,208
912,30,2,244,13,205,494
913,1,0,20,33,0,54
914,3,23,15,115,0,156
915,0,0,2,5,0,7
916,1,3,12,13,0,29
917,10,8,32,110,0,160
918,4,2,25,7,0,38
919,5,3,41,64,3,116
920,11,2,280,212,2,507
921,1,0,25,51,0,77
922,4,4,7,6,0,21
923,8,2,106,11,86,213
924,23,3,131,8,125,290
925,3,3,18,62,0,86
926,2,0,3,32,0,37
927,1,0,17,6,0,24
928,1,0,0,22,0,23
929,3,0,23,50,0,76
930,8,0,36,8,21,73
931,3,2,20,17,0,42
932,5,8,21,67,0,101
933,6,7,68,70,21,172
934,4,2,36,17,0,59
935,0,1,0,0,0,1
936,1,0,1,2,0,4
937,4,10,26,10,0,50
938,0,0,4,0,0,4
939,16,3,98,8,66,191
940,2,4,3,74,0,83
941,6,2,47,2,39,96
942,1,6,0,37,0,44
943,1,1,24,26,0,52
944,1,4,1,0,0,6
945,6,0,79,6,45,136
946,3,1,34,33,0,71
947,6,4,29,6,24,69
